,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
21,20200617,MA,106151,625895.0,,998.0,10925.0,227.0,,135.0,,,A+,6/17/2020 10:00,2020-06-17T10:00:00Z,06/17 06:00,7734,10925.0,2020-06-17T10:00:00Z,914751.0,,,101654.0,25,266,8133,732046,732046,8399,732046,69,58,d6b1e23207e0bd7bcfab70f340f954f523ad557c,0,0,0,0,0,
22,20200617,MD,62969,378374.0,,702.0,10309.0,283.0,,,,4596.0,A,6/17/2020 10:00,2020-06-17T10:00:00Z,06/17 06:00,2996,10309.0,2020-06-17T10:00:00Z,526882.0,,,62969.0,24,560,11558,441343,441343,12118,441343,14,47,b55acf1746896aa89dacae954606f162b7a3285c,0,0,0,0,0,
23,20200617,ME,2836,71182.0,,27.0,323.0,10.0,,5.0,,2275.0,A,6/16/2020 23:59,2020-06-16T23:59:00Z,06/16 19:59,102,323.0,2020-06-16T23:59:00Z,74763.0,3466.0,71182.0,2509.0,23,17,1666,74018,74018,1683,74018,1,2,acb55e7ca0412f0d6ec6f3c45f1d9647cfed7452,0,0,0,0,0,
24,20200617,MI,66497,783388.0,,562.0,,210.0,,131.0,,44964.0,A+,6/17/2020 00:00,2020-06-17T00:00:00Z,06/16 20:00,6036,,2020-06-17T00:00:00Z,866277.0,82889.0,783388.0,60393.0,26,228,14123,849885,849885,14351,849885,2,0,94333533cb40dd88226f3e14a0d2894f9cc3e190,0,0,0,0,0,
25,20200617,MN,31296,417291.0,,351.0,3689.0,181.0,1136.0,,,27404.0,A,6/16/2020 17:00,2020-06-16T17:00:00Z,06/16 13:00,1357,3689.0,2020-06-16T17:00:00Z,448587.0,,,31296.0,27,414,19028,448587,448587,19442,448587,13,31,436cc8eeb90d87e19439704559688973888f5e30,0,0,0,0,0,
26,20200617,MO,16625,268377.0,,533.0,,,,66.0,,,B,6/17/2020 15:00,2020-06-17T15:00:00Z,06/17 11:00,909,,2020-06-17T15:00:00Z,270232.0,17275.0,252506.0,16625.0,29,211,0,285002,285002,211,285002,27,0,f2bd164b5990b485f3323bf8a06e817ea9b439f3,0,0,0,0,0,
27,20200617,MP,30,8139.0,,,,,,,,19.0,D,6/16/2020 18:09,2020-06-16T18:09:00Z,06/16 14:09,2,,2020-06-16T18:09:00Z,8169.0,,,30.0,69,0,0,8169,8169,0,8169,0,0,cae19ebbdd77c5f24594b316ffca4583eac29fbd,0,0,0,0,0,
28,20200617,MS,20641,223748.0,,668.0,2767.0,161.0,,100.0,,15323.0,A,6/17/2020 19:00,2020-06-17T19:00:00Z,06/17 15:00,938,2767.0,2020-06-17T19:00:00Z,244248.0,,,20500.0,28,489,3097,244389,244389,3586,244389,23,39,f8b01f0394165e4efaa9421a82b649a523a4d356,0,0,0,0,0,
29,20200617,MT,630,64885.0,,5.0,78.0,,,,,538.0,C,6/17/2020 00:00,2020-06-17T00:00:00Z,06/16 20:00,20,78.0,2020-06-17T00:00:00Z,,,,630.0,30,16,1922,65515,65515,1938,65515,1,-1,f1d171184f4b40ffb45ebd591d3ae3b74390e1cc,0,0,0,0,0,
30,20200617,NC,46855,620567.0,,846.0,,,,,,29219.0,A,6/17/2020 12:00,2020-06-17T12:00:00Z,06/17 08:00,1168,,2020-06-17T12:00:00Z,,,,46855.0,37,1002,14999,667422,667422,16001,667422,14,0,3afe5b4daefd41c8c5022766fe48986f9a8b70fc,0,0,0,0,0,
