,date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,lastModified,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hash
115,20200223,1,2,,,,,,,,,,2020-02-23T00:00:00Z,,,2020-02-23T00:00:00Z,2,2,2,0,0,0,0,0,3cbc70a7b313f1c6ec7622b197a74c741d712e77
116,20200222,1,2,,,,,,,,,,2020-02-22T00:00:00Z,,,2020-02-22T00:00:00Z,2,2,2,0,0,0,0,0,50f138088f1e11ca36fd78859f142d445c945e54
117,20200221,1,2,,,,,,,,,,2020-02-21T00:00:00Z,,,2020-02-21T00:00:00Z,2,2,2,0,0,0,0,0,99958bf3fc2a89eea0136ef0f545d75b368e29e3
118,20200220,1,2,,,,,,,,,,2020-02-20T00:00:00Z,,,2020-02-20T00:00:00Z,2,2,2,0,0,0,0,0,d0b1d19e289390f66a595227feb02728ed025a23
119,20200219,1,2,,,,,,,,,,2020-02-19T00:00:00Z,,,2020-02-19T00:00:00Z,2,2,2,0,0,0,0,0,3b7f0741654cb4825e13a1f7a27d4e2d0d059020
120,20200218,1,2,,,,,,,,,,2020-02-18T00:00:00Z,,,2020-02-18T00:00:00Z,2,2,2,0,0,0,0,0,1822eb086de41cdbe0c7ac979b6f657d57cd874a
121,20200217,1,2,,,,,,,,,,2020-02-17T00:00:00Z,,,2020-02-17T00:00:00Z,2,2,2,0,0,0,0,0,4464bf3e0604b052a3c5075ace1c32e669022615
122,20200216,1,2,,,,,,,,,,2020-02-16T00:00:00Z,,,2020-02-16T00:00:00Z,2,2,2,0,0,0,0,0,1cf40572c6ce54e00c689ed6bf80fd2fd931f0bb
123,20200215,1,2,,,,,,,,,,2020-02-15T00:00:00Z,,,2020-02-15T00:00:00Z,2,2,2,0,0,0,0,0,f05f7fa869183222a7888ab06a6c901e4c23ce6e
124,20200214,1,2,,,,,,,,,,2020-02-14T00:00:00Z,,,2020-02-14T00:00:00Z,2,2,2,0,0,0,0,0,b315648fb27694fbd183f27aed7c71036d0843ad
125,20200213,1,2,,,,,,,,,,2020-02-13T00:00:00Z,,,2020-02-13T00:00:00Z,2,2,2,0,0,0,0,0,a3be7448c6d2069f0cad12c38987845dee69ad51
126,20200212,1,2,,,,,,,,,,2020-02-12T00:00:00Z,,,2020-02-12T00:00:00Z,2,2,2,0,0,0,0,0,7c45f96faeda375934d8117b73fa9b33f0ad754d
127,20200211,1,2,,,,,,,,,,2020-02-11T00:00:00Z,,,2020-02-11T00:00:00Z,2,2,2,0,0,0,0,0,b940427b697fd1bd0a37c7643fc7ca8360b5dc3c
128,20200210,1,2,,,,,,,,,,2020-02-10T00:00:00Z,,,2020-02-10T00:00:00Z,2,2,2,0,0,0,0,0,e36a8a81f382ff4c7b63c6cb294e8be36a1fd718
129,20200209,1,2,,,,,,,,,,2020-02-09T00:00:00Z,,,2020-02-09T00:00:00Z,2,2,2,0,0,0,0,0,6741a2fdab01adac46e34bae3e003025823c9c35
130,20200208,1,2,,,,,,,,,,2020-02-08T00:00:00Z,,,2020-02-08T00:00:00Z,2,2,2,0,0,0,0,0,1d9272a4f6ab867778386b633e887dc02849099f
131,20200207,1,2,,,,,,,,,,2020-02-07T00:00:00Z,,,2020-02-07T00:00:00Z,2,2,2,0,0,0,1,1,88b2d088fd6fa21717496d360db41ed87c866821
132,20200206,1,1,,,,,,,,,,2020-02-06T00:00:00Z,,,2020-02-06T00:00:00Z,1,1,1,0,0,0,0,0,a9b5e00de25fb5424883c96fd98f43b1eda71396
133,20200205,1,1,,,,,,,,,,2020-02-05T00:00:00Z,,,2020-02-05T00:00:00Z,1,1,1,0,0,0,0,0,ebe9a49fe555b9e7a40dcb8dc3bef1ab0affe9a2
134,20200204,1,1,,,,,,,,,,2020-02-04T00:00:00Z,,,2020-02-04T00:00:00Z,1,1,1,0,0,0,0,0,46af24dca1e90976b3b99fcfb68056db257b8353
135,20200203,1,1,,,,,,,,,,2020-02-03T00:00:00Z,,,2020-02-03T00:00:00Z,1,1,1,0,0,0,0,0,23d1e0467083305382dd9deb16c97eae9bb05959
136,20200202,1,1,,,,,,,,,,2020-02-02T00:00:00Z,,,2020-02-02T00:00:00Z,1,1,1,0,0,0,0,0,ef1f1fbde11469a8f4c8120086da67a0954ead0b
137,20200201,1,1,,,,,,,,,,2020-02-01T00:00:00Z,,,2020-02-01T00:00:00Z,1,1,1,0,0,0,0,0,9606415314904bc323bff853b55fd3813b0640f7
138,20200131,1,1,,,,,,,,,,2020-01-31T00:00:00Z,,,2020-01-31T00:00:00Z,1,1,1,0,0,0,0,0,8cb633ef4a0d179bf9633084d41f4a9e18c37600
139,20200130,1,1,,,,,,,,,,2020-01-30T00:00:00Z,,,2020-01-30T00:00:00Z,1,1,1,0,0,0,0,0,2f6a8b1924dfb81f8f53b4cae11253659608d75a
140,20200129,1,1,,,,,,,,,,2020-01-29T00:00:00Z,,,2020-01-29T00:00:00Z,1,1,1,0,0,0,0,0,52c2926d5047aa6d2c7b167f75f99d8fe118e494
141,20200128,1,1,,,,,,,,,,2020-01-28T00:00:00Z,,,2020-01-28T00:00:00Z,1,1,1,0,0,0,0,0,211c37158b33a2e99dd06048f66a021f7b9be8a0
142,20200127,1,1,,,,,,,,,,2020-01-27T00:00:00Z,,,2020-01-27T00:00:00Z,1,1,1,0,0,0,0,0,48dcf46384ef1be1a07bcbba2efc4a99cbd6a978
143,20200126,1,1,,,,,,,,,,2020-01-26T00:00:00Z,,,2020-01-26T00:00:00Z,1,1,1,0,0,0,0,0,defee0e146ae049c86c14a5e580c6219add8e92f
144,20200125,1,1,,,,,,,,,,2020-01-25T00:00:00Z,,,2020-01-25T00:00:00Z,1,1,1,0,0,0,0,0,ca2013db2fa6a2b1a2c776b85d5fcd5e1ca64722
145,20200124,1,1,,,,,,,,,,2020-01-24T00:00:00Z,,,2020-01-24T00:00:00Z,1,1,1,0,0,0,0,0,738e6d4a52f6d0895318ad9eda0d965d09feeb70
146,20200123,1,1,,,,,,,,,,2020-01-23T00:00:00Z,,,2020-01-23T00:00:00Z,1,1,1,0,0,0,0,0,680d664781c7080c1171f160145dafc31e3b93af
147,20200122,1,1,,,,,,,,,,2020-01-22T00:00:00Z,,,2020-01-22T00:00:00Z,1,1,1,0,0,0,0,0,615132d06fd9e22bc21b1b3ec47fb9b2a0de0734
